"";"reportyear";"djelatnosti";"n";"prihod";"izvoz";"uvoz";"k_dug";"d_dug";"rad";"energy";"placa";"amortizacija";"fin_rashod";"tax_nett";"nett";"kapital";"plata";"dv";"dug"
"24";2007;"tercijarni";61944;372,63235354;33,069672858;70,722083728;157,751223206;136,410739821;487882;5,783323689;41,683610289;16,514270673;11,616183345;-0,032770577;16,306189081;166,303143939;7119,82444679246;86,087482811;294,161963027
"25";2008;"primarni";2321;16,853136239;0,83413795;1,067214725;13,597314233;7,812833203;31804;0,560106798;2,715568981;0,872357974;1,176407129;-0,16300247;0,373442983;11,037922167;7115,37589873391;4,974774597;21,410147436
"26";2008;"sekundarni";24982;284,021849866;59,654035563;47,483636588;150,85510571;114,540908223;434774;11,1195628;37,33817359;14,237195026;11,167371518;-2,070535146;4,496870644;222,533785776;7156,62497259112;65,169075632;265,396013933
"27";2008;"tercijarni";67473;395,163926377;32,882739578;71,938514207;175,651077847;133,667456226;515018;8,617102758;46,625344977;16,237715472;15,896148162;-0,639099382;12,0771123240313;166,904117147;7544,29051945757;90,1972215530313;309,318534073
"28";2009;"primarni";2514;14,915666031;0,929783182;0,753170948;14,49877062;9,314119099;30606;0,450440742;2,647835007;0,955958978;1,243621516;-0,159135314;-0,139331903;10,192493568;7209,46602790303;4,548948284;23,812889719
"29";2009;"sekundarni";25960;250,787279562;50,006291112;37,977265437;157,066385559;119,012598749;410328;9,767227764;36,400878973;14,424996572;10,556559534;-0,826626752;0,0458608610000001;220,365305325;7392,63852596784;60,601669188;276,078984308
"30";2009;"tercijarni";70286;345,565943228004;28,33534669;51,935756003;176,631232657;156,569032141;502638;5,920773468;46,299452017;17,035070682;14,490666844;-1,358596375;3,801937166;165,16607834;7676,07635730552;80,268530334;333,200264798
"31";2010;"primarni";2678;15,370021058;1,052685242;1,060399508;10,153905797;5,767849011;29428;0,543587429;2,419195735;0,915744291;0,709711667;0,124306014;-0,077716511;9,009077024;6850,60638111096;4,091241196;15,921754808
"32";2010;"sekundarni";26358;238,331475656;58,883570432;37,84097209;156,943485051;130,575223428;383701;10,103289135;34,029910996;14,209983087;14,067978356;0,885827527;-2,036939363;216,170057917;7390,71807561964;61,156760603;287,518708479
"33";2010;"tercijarni";72268;331,531736219;30,223221328;49,811789468;188,358225858;157,480081312;486064;6,784346797;44,655730052;16,323426497;18,248526795;-0,269308102;0,022533356;160,583116125;7656,00998565347;78,980908598;345,83830717
"34";2011;"primarni";2821;19,31465312;1,470516558;1,585282243;11,351511922;8,316707647;29576;0,643396605;2,584531482;1,021043244;0,927628239;-0,120701262;-0,006303161;10,042293673;7282,17553083581;4,406198542;19,668219569
"35";2011;"sekundarni";26367;247,658826056;62,24121251;39,898123751;158,049516668;140,808326029;362720;11,564419227;32,849964568;14,609602284;12,571953822;-0,587845226;4,522652734;208,045722201;7547,13566203499;63,966328182;298,857842697
"36";2011;"tercijarni";73134;343,229092154;32,020294219;50,972218665;194,35694343;150,750013845;471660;6,89525043;45,188743279;16,169422258;17,750886957;0,136187522;2,248085078;156,355273539;7983,98975232865;81,493325094;345,106957275
"37";2012;"primarni";2880;19,235102439;1,610484722;1,324589849;11,97006473;8,186447859;30123;0,678672353;2,570640289;1,104726197;0,88486811;-0,071256647;0,01554907;10,677085278;7111,51027730748;4,504527019;20,156512589
"38";2012;"sekundarni";25999;247,693299063;62,767524151;39,154763671;156,012056183;131,683425122;361222;12,464460778;32,057360309;13,807203577;9,925369774;0,103466728;5,457149403;201,568860473;7395,58136662957;61,350549791;287,695481305
"39";2012;"tercijarni";72736;335,410437066;34,195687291;51,326829821;196,931043219;157,130881767;481002;7,548234861;43,865426742;15,702298349;14,974854376;0,024014838;-1,15553372;150,53513383;7599,66118332148;73,411060585;354,061924986
"40";2013;"primarni";3009;19,126474174;1,718885776;1,375199614;12,378302572;8,711898976;28990;0,802236086;2,515194312;1,101232756;1,019448512;-0,133494938;-0,248946868;10,679215375;7230,06298723698;4,253433774;21,090201548
"41";2013;"sekundarni";26710;240,895073986;60,704402802;38,165863778;148,372119063;131,367322776;353603;11,536689273;31,031573658;14,35694604;9,952553545;-0,181202616;2,681037178;209,466720207;7313,18589350204;57,840907805;279,739441839
